MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|IE(SEM)
01.01.2024 00:00 - 01.01.2024 01:00,41.26,BZN|IE(SEM),
01.01.2024 01:00 - 01.01.2024 02:00,52.98,BZN|IE(SEM),
01.01.2024 02:00 - 01.01.2024 03:00,52.33,BZN|IE(SEM),
01.01.2024 03:00 - 01.01.2024 04:00,36.02,BZN|IE(SEM),
01.01.2024 04:00 - 01.01.2024 05:00,31.15,BZN|IE(SEM),
01.01.2024 05:00 - 01.01.2024 06:00,30.98,BZN|IE(SEM),
01.01.2024 06:00 - 01.01.2024 07:00,45.87,BZN|IE(SEM),
01.01.2024 07:00 - 01.01.2024 08:00,68.81,BZN|IE(SEM),
01.01.2024 08:00 - 01.01.2024 09:00,78.3,BZN|IE(SEM),
01.01.2024 09:00 - 01.01.2024 10:00,82.76,BZN|IE(SEM),
01.01.2024 10:00 - 01.01.2024 11:00,97.91,BZN|IE(SEM),
01.01.2024 11:00 - 01.01.2024 12:00,139.58,BZN|IE(SEM),
01.01.2024 12:00 - 01.01.2024 13:00,115,BZN|IE(SEM),
01.01.2024 13:00 - 01.01.2024 14:00,125.58,BZN|IE(SEM),
01.01.2024 14:00 - 01.01.2024 15:00,118.72,BZN|IE(SEM),
01.01.2024 15:00 - 01.01.2024 16:00,106.43,BZN|IE(SEM),
01.01.2024 16:00 - 01.01.2024 17:00,100,BZN|IE(SEM),
01.01.2024 17:00 - 01.01.2024 18:00,115,BZN|IE(SEM),
01.01.2024 18:00 - 01.01.2024 19:00,125,BZN|IE(SEM),
01.01.2024 19:00 - 01.01.2024 20:00,102.53,BZN|IE(SEM),
01.01.2024 20:00 - 01.01.2024 21:00,85.61,BZN|IE(SEM),
01.01.2024 21:00 - 01.01.2024 22:00,74.12,BZN|IE(SEM),
01.01.2024 22:00 - 01.01.2024 23:00,65.97,BZN|IE(SEM),
01.01.2024 23:00 - 02.01.2024 00:00,40.7,BZN|IE(SEM),
02.01.2024 00:00 - 02.01.2024 01:00,30,BZN|IE(SEM),
02.01.2024 01:00 - 02.01.2024 02:00,28.39,BZN|IE(SEM),
02.01.2024 02:00 - 02.01.2024 03:00,35,BZN|IE(SEM),
02.01.2024 03:00 - 02.01.2024 04:00,44.82,BZN|IE(SEM),
02.01.2024 04:00 - 02.01.2024 05:00,51.87,BZN|IE(SEM),
02.01.2024 05:00 - 02.01.2024 06:00,68.94,BZN|IE(SEM),
02.01.2024 06:00 - 02.01.2024 07:00,90,BZN|IE(SEM),
02.01.2024 07:00 - 02.01.2024 08:00,110,BZN|IE(SEM),
02.01.2024 08:00 - 02.01.2024 09:00,121.02,BZN|IE(SEM),
02.01.2024 09:00 - 02.01.2024 10:00,140.4,BZN|IE(SEM),
02.01.2024 10:00 - 02.01.2024 11:00,150,BZN|IE(SEM),
02.01.2024 11:00 - 02.01.2024 12:00,135.7,BZN|IE(SEM),
02.01.2024 12:00 - 02.01.2024 13:00,119.66,BZN|IE(SEM),
02.01.2024 13:00 - 02.01.2024 14:00,115,BZN|IE(SEM),
02.01.2024 14:00 - 02.01.2024 15:00,109,BZN|IE(SEM),
02.01.2024 15:00 - 02.01.2024 16:00,99,BZN|IE(SEM),
02.01.2024 16:00 - 02.01.2024 17:00,95.73,BZN|IE(SEM),
02.01.2024 17:00 - 02.01.2024 18:00,110,BZN|IE(SEM),
02.01.2024 18:00 - 02.01.2024 19:00,125.63,BZN|IE(SEM),
02.01.2024 19:00 - 02.01.2024 20:00,115,BZN|IE(SEM),
02.01.2024 20:00 - 02.01.2024 21:00,101.43,BZN|IE(SEM),
02.01.2024 21:00 - 02.01.2024 22:00,97.09,BZN|IE(SEM),
02.01.2024 22:00 - 02.01.2024 23:00,87.16,BZN|IE(SEM),
02.01.2024 23:00 - 03.01.2024 00:00,76.9,BZN|IE(SEM),
03.01.2024 00:00 - 03.01.2024 01:00,77.41,BZN|IE(SEM),
03.01.2024 01:00 - 03.01.2024 02:00,81.12,BZN|IE(SEM),
03.01.2024 02:00 - 03.01.2024 03:00,79.58,BZN|IE(SEM),
03.01.2024 03:00 - 03.01.2024 04:00,78.41,BZN|IE(SEM),
03.01.2024 04:00 - 03.01.2024 05:00,78.78,BZN|IE(SEM),
03.01.2024 05:00 - 03.01.2024 06:00,76.9,BZN|IE(SEM),
03.01.2024 06:00 - 03.01.2024 07:00,89.85,BZN|IE(SEM),
