MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
01.06.2024 00:00 - 01.06.2024 01:00,88.58,EUR,
01.06.2024 01:00 - 01.06.2024 02:00,88.82,EUR,
01.06.2024 02:00 - 01.06.2024 03:00,79.66,EUR,
01.06.2024 03:00 - 01.06.2024 04:00,72.14,EUR,
01.06.2024 04:00 - 01.06.2024 05:00,71.87,EUR,
01.06.2024 05:00 - 01.06.2024 06:00,71.83,EUR,
01.06.2024 06:00 - 01.06.2024 07:00,75.2,EUR,
01.06.2024 07:00 - 01.06.2024 08:00,74.4,EUR,
01.06.2024 08:00 - 01.06.2024 09:00,72.49,EUR,
01.06.2024 09:00 - 01.06.2024 10:00,61.35,EUR,
01.06.2024 10:00 - 01.06.2024 11:00,47.16,EUR,
01.06.2024 11:00 - 01.06.2024 12:00,41.86,EUR,
01.06.2024 12:00 - 01.06.2024 13:00,21.21,EUR,
01.06.2024 13:00 - 01.06.2024 14:00,7.44,EUR,
01.06.2024 14:00 - 01.06.2024 15:00,2.92,EUR,
01.06.2024 15:00 - 01.06.2024 16:00,5.8,EUR,
01.06.2024 16:00 - 01.06.2024 17:00,13,EUR,
01.06.2024 17:00 - 01.06.2024 18:00,52.08,EUR,
01.06.2024 18:00 - 01.06.2024 19:00,67.5,EUR,
01.06.2024 19:00 - 01.06.2024 20:00,81.9,EUR,
01.06.2024 20:00 - 01.06.2024 21:00,85.86,EUR,
01.06.2024 21:00 - 01.06.2024 22:00,81.76,EUR,
01.06.2024 22:00 - 01.06.2024 23:00,84.48,EUR,
01.06.2024 23:00 - 02.06.2024 00:00,65.39,EUR,
02.06.2024 00:00 - 02.06.2024 01:00,35.71,EUR,
02.06.2024 01:00 - 02.06.2024 02:00,31.12,EUR,
02.06.2024 02:00 - 02.06.2024 03:00,15.85,EUR,
02.06.2024 03:00 - 02.06.2024 04:00,7.22,EUR,
02.06.2024 04:00 - 02.06.2024 05:00,8.96,EUR,
02.06.2024 05:00 - 02.06.2024 06:00,5.13,EUR,
02.06.2024 06:00 - 02.06.2024 07:00,4.91,EUR,
02.06.2024 07:00 - 02.06.2024 08:00,4.11,EUR,
02.06.2024 08:00 - 02.06.2024 09:00,0.97,EUR,
02.06.2024 09:00 - 02.06.2024 10:00,0,EUR,
02.06.2024 10:00 - 02.06.2024 11:00,1.56,EUR,
02.06.2024 11:00 - 02.06.2024 12:00,0.77,EUR,
02.06.2024 12:00 - 02.06.2024 13:00,-0.1,EUR,
02.06.2024 13:00 - 02.06.2024 14:00,-4.01,EUR,
02.06.2024 14:00 - 02.06.2024 15:00,-15.93,EUR,
02.06.2024 15:00 - 02.06.2024 16:00,-19.58,EUR,
02.06.2024 16:00 - 02.06.2024 17:00,-8.98,EUR,
02.06.2024 17:00 - 02.06.2024 18:00,-1.27,EUR,
02.06.2024 18:00 - 02.06.2024 19:00,13.95,EUR,
02.06.2024 19:00 - 02.06.2024 20:00,67.23,EUR,
02.06.2024 20:00 - 02.06.2024 21:00,94.99,EUR,
02.06.2024 21:00 - 02.06.2024 22:00,106.93,EUR,
02.06.2024 22:00 - 02.06.2024 23:00,109.01,EUR,
02.06.2024 23:00 - 03.06.2024 00:00,99.16,EUR,
03.06.2024 00:00 - 03.06.2024 01:00,98.26,EUR,
03.06.2024 01:00 - 03.06.2024 02:00,84.58,EUR,
03.06.2024 02:00 - 03.06.2024 03:00,83.67,EUR,
03.06.2024 03:00 - 03.06.2024 04:00,83.81,EUR,
03.06.2024 04:00 - 03.06.2024 05:00,82.17,EUR,
03.06.2024 05:00 - 03.06.2024 06:00,96.17,EUR,
03.06.2024 06:00 - 03.06.2024 07:00,133.28,EUR,
03.06.2024 07:00 - 03.06.2024 08:00,193.06,EUR,
03.06.2024 08:00 - 03.06.2024 09:00,164.48,EUR,
03.06.2024 09:00 - 03.06.2024 10:00,128.08,EUR,
03.06.2024 10:00 - 03.06.2024 11:00,99.05,EUR,
03.06.2024 11:00 - 03.06.2024 12:00,95.9,EUR,
03.06.2024 12:00 - 03.06.2024 13:00,81.09,EUR,
03.06.2024 13:00 - 03.06.2024 14:00,74.9,EUR,
03.06.2024 14:00 - 03.06.2024 15:00,67.3,EUR,
03.06.2024 15:00 - 03.06.2024 16:00,72.02,EUR,
03.06.2024 16:00 - 03.06.2024 17:00,78,EUR,
03.06.2024 17:00 - 03.06.2024 18:00,105.95,EUR,
03.06.2024 18:00 - 03.06.2024 19:00,127.32,EUR,
03.06.2024 19:00 - 03.06.2024 20:00,182.91,EUR,
03.06.2024 20:00 - 03.06.2024 21:00,215.28,EUR,
03.06.2024 21:00 - 03.06.2024 22:00,198.79,EUR,
03.06.2024 22:00 - 03.06.2024 23:00,149.29,EUR,
03.06.2024 23:00 - 04.06.2024 00:00,116.04,EUR,
04.06.2024 00:00 - 04.06.2024 01:00,106.87,EUR,
04.06.2024 01:00 - 04.06.2024 02:00,99.98,EUR,
04.06.2024 02:00 - 04.06.2024 03:00,95.42,EUR,
04.06.2024 03:00 - 04.06.2024 04:00,92.94,EUR,
04.06.2024 04:00 - 04.06.2024 05:00,92.25,EUR,
04.06.2024 05:00 - 04.06.2024 06:00,104.69,EUR,
04.06.2024 06:00 - 04.06.2024 07:00,162,EUR,
04.06.2024 07:00 - 04.06.2024 08:00,177.66,EUR,
04.06.2024 08:00 - 04.06.2024 09:00,141.68,EUR,
04.06.2024 09:00 - 04.06.2024 10:00,112.37,EUR,
04.06.2024 10:00 - 04.06.2024 11:00,91.6,EUR,
